# 1.76 怪物 -> Crystal 精灵图。第四列是依据，见 Packs/mir-176/README.md 的 Monsters 段。
# crystalm2   同名记录，拿 39 个坐标锚点验过 31/33
# variant     去掉数字后缀后命中同名记录
# derived:X   由名字拆解推出，跟 X 用同一张图，未经确认
# appr:X       1.76 的 Monster.Appr 与 X 相同，沿用 X 的精灵图（1.76 里两者本就同一外观）
# appr-run    Appr 连号段与 Image 连号段对齐后外推，并渲图确认
# visual      渲出候选精灵图逐一比对后判定
# unresolved  没有依据，等人工指定；留空即排除出本包
# 名字	贴图	英文名	依据
圣诞驯鹿	4		appr:鹿
雪球	231		visual:IcePillar，几团冰雪；雪球是 0 攻击的场景物
雪球1	231		visual:同 雪球
飞火流星			unresolved
蝙蝠	19	CaveBat	crystalm2
鸡	3	Hen	crystalm2
人质	140		visual:与练功师同 Appr72，两候选中 140 是人类武士，123 是兽人卫兵
稻草人	5	Scarecrow	crystalm2
稻草人0	5	Scarecrow	crystalm2
虎卫	140		visual:同上，虎卫是人类禁卫
鹰卫	378		visual:同 Appr71 的弓箭守卫用 378，鹰卫是精锐
龙卫	0		appr:卫士
蛤蟆	8	Yob	crystalm2
蛤蟆0	8	Yob	crystalm2
鹿	4	Deer	crystalm2
多钩猫	6	HookingCat	crystalm2
多钩猫0	6	HookingCat	crystalm2
羊	103	Sheep	crystalm2
钉耙猫	7	RakingCat	crystalm2
钉耙猫0	7	RakingCat	crystalm2
半兽人	9	Oma	crystalm2
半兽人0	9	Oma	crystalm2
变异骷髅	78	BoneFamiliar	crystalm2
多角虫	106	Keratoid	crystalm2
多角虫0	106	Keratoid	crystalm2
威思而小虫			unresolved
森林雪人	11	ForestYeti	crystalm2
森林雪人0	11	ForestYeti	crystalm2
毒蜘蛛	12	SpittingSpider	crystalm2
狼	104	Wolf	crystalm2
猎鹰	108	SkyStinger	crystalm2
猎鹰0	108	SkyStinger	crystalm2
盔甲虫	105	ShellNipper	crystalm2
盔甲虫0	105	ShellNipper	crystalm2
沙虫	109	SandWorm	crystalm2
红蛇	111	RedSnake	crystalm2
红蛇0	111	RedSnake	crystalm2
掷斧骷髅	24	AxeSkeleton	crystalm2
掷斧骷髅0	24	AxeSkeleton	crystalm2
掷斧骷髅9	24	AxeSkeleton	crystalm2
虎蛇	112	TigerSnake	crystalm2
虎蛇0	112	TigerSnake	crystalm2
蝎子	21	Scorpion	crystalm2
足球	149	Football	crystalm2
骷髅	22	Skeleton	crystalm2
骷髅0	22	Skeleton	crystalm2
骷髅战士	23	BoneFighter	crystalm2
骷髅战士0	23	BoneFighter	crystalm2
山洞蝙蝠	203	ValeBat	crystalm2
山洞蝙蝠0	203	ValeBat	crystalm2
食人花	10	CannibalPlant	crystalm2
骷髅战将	25	BoneWarrior	crystalm2
骷髅战将0	25	BoneWarrior	crystalm2
洞蛆	20	CaveMaggot	crystalm2
半兽战士	17	OmaFighter	crystalm2
半兽战士0	17	OmaFighter	crystalm2
半兽战士8	17	OmaFighter	crystalm2
大老鼠	63	BigRat	crystalm2
大老鼠0	63	BigRat	crystalm2
雪球2	231		visual:同 雪球
僵尸1	73	ShamanZombie	crystalm2
僵尸10	73	ShamanZombie	crystalm2
僵尸2	69	DigOutZombie	crystalm2
僵尸20	69	DigOutZombie	crystalm2
僵尸3	70	ClZombie	crystalm2
